symbol,entrez_id,average_score,combined_score,num_screens_hit
C10orf107,219621,28.338,0.10304727272727274,1
IER5L,389792,27.89,0.10141818181818182,1
RARA,5914,27.852,0.10128,1
NPIPB9,100507607,27.771,0.2019709090909091,2
EMG1,10436,27.767,0.20194181818181817,2
CRYBB1,1414,27.261,0.09913090909090909,1
HMGB3,3149,27.167,0.19757818181818182,2
GOLGA6L10,647042,27.0215,0.19652,2
GOLGA6L6,727832,26.9775,0.19619999999999999,2
PHGR1,644844,26.906,0.09784,1
CTAGE8,100142659,26.857,0.19532363636363637,2
ARAP1,116985,26.855,0.09765454545454545,1
GOLGA6L9,440295,26.771,0.19469818181818183,2
FOXD4L3,286380,26.7245,0.19436,2
DHRSX,207063,26.711,0.09713090909090909,1
SUSD2,56241,26.706,0.09711272727272727,1
MACROD1,28992,26.516000000000002,0.19284363636363638,2
RPEL1,729020,26.439999999999998,0.19229090909090907,2
OPRL1,4987,26.4185,0.19213454545454547,2
WIPF2,147179,26.416,0.09605818181818182,1
LIPT2,387787,26.27691111111167,0.5733144242424365,6
ACADVL,37,25.82,0.0938909090909091,1
TTC37,9652,25.5825,0.18605454545454544,2
CELF1,10658,25.308333333333334,0.2760909090909091,3
INSL6,11172,25.26,0.09185454545454547,1
TTC33,23548,25.112,0.09131636363636363,1
OR5D18,219438,25.065,0.09114545454545454,1
CLIC1,1192,24.892000000000003,0.1810327272727273,2
TIAL1,7073,24.881,0.09047636363636363,1
INPP5K,51763,24.873,0.09044727272727274,1
FABP5,2171,24.7455,0.17996727272727273,2
UCHL3,7347,24.671,0.08971272727272726,1
PORCN,64840,24.59,0.08941818181818181,1
SPAG7,9552,24.538,0.08922909090909091,1
HNRNPUL2,221092,24.278,0.08828363636363636,1
ANKRD60,140731,24.266,0.08824,1
ZBTB24,9841,24.251,0.08818545454545455,1
C22orf15,150248,24.205,0.08801818181818181,1
WDR54,84058,23.898,0.08690181818181818,1
ATP2B1,490,23.882,0.17368727272727275,2
KLF6,1316,23.86,0.08676363636363636,1
CDC42BPG,55561,23.847,0.08671636363636365,1
CDH12,1010,23.825,0.08663636363636364,1
RAPGEFL1,51195,23.814,0.17319272727272728,2
DUSP26,78986,23.77,0.08643636363636363,1
DDR1,780,23.704,0.17239272727272728,2
RAMP2,10266,23.639,0.08596,1
GATA1,2623,23.555555555566666,0.2569696969698182,3
CDH16,1014,23.417,0.08515272727272728,1
JUNB,3726,23.3802,0.4250945454545454,5
ARHGAP40,343578,23.34,0.08487272727272727,1
CREBBP,1387,23.267866666674998,0.33844169696981813,4
MYO9B,4650,23.26,0.08458181818181819,1
LAMB2,3913,23.103,0.0840109090909091,1
XBP1,7494,23.026,0.16746181818181818,2
MYOM3,127294,23.01,0.08367272727272727,1
SHCBP1L,81626,22.984,0.08357818181818183,1
TMEM203,94107,22.9175,0.16667272727272728,2
C3orf35,339883,22.896,0.08325818181818181,1
RALGAPB,57148,22.883,0.08321090909090909,1
DLL4,54567,22.643,0.08233818181818182,1
GGNBP2,79893,22.545,0.08198181818181818,1
CWF19L1,55280,22.508666666666667,0.24554909090909094,3
STK32C,282974,22.462,0.08168,1
ADIPOR1,51094,22.42,0.08152727272727274,1
NOA1,84273,22.248399999999997,0.40451636363636356,5
UNC93B1,81622,22.234,0.0808509090909091,1
GTF2H2C,728340,22.0855,0.16062181818181817,2
CYP3A7,1551,22.027,0.08009818181818182,1
HAX1,10456,21.924999999999997,0.15945454545454543,2
PRR15L,79170,21.87,0.07952727272727272,1
SETSIP,646817,21.712,0.15790545454545454,2
FGF3,2248,21.609,0.07857818181818182,1
IGDCC3,9543,21.521,0.07825818181818182,1
USP27X,389856,21.52,0.07825454545454545,1
C6orf15,29113,21.4235,0.15580727272727274,2
RGL4,266747,21.339,0.07759636363636363,1
ANKDD1A,348094,21.261,0.07731272727272727,1
FXYD4,53828,21.23,0.0772,1
AAK1,22848,21.189,0.07705090909090909,1
SLC52A2,79581,21.167,0.07697090909090909,1
USP17L4,645402,21.018,0.1528581818181818,2
ASPHD2,57168,20.993499999999997,0.15267999999999998,2
RNF11,26994,20.917,0.07606181818181819,1
BBIP1,92482,20.912,0.1520872727272727,2
GOLGA8O,728047,20.909,0.15206545454545453,2
MSH4,4438,20.885,0.07594545454545455,1
ARID4A,5926,20.832,0.15150545454545455,2
MYLIP,29116,20.801,0.07564,1
RFK,55312,20.5745,0.29926545454545456,4
SPDYE5,442590,20.5405,0.14938545454545454,2
GPR89B,51463,20.5325,0.14932727272727273,2
MGA,23269,20.497,0.07453454545454545,1
NBPF26,101060684,20.4515,0.14873818181818182,2
COA4,51287,20.43,0.07429090909090909,1
RAB36,9609,20.413377777766666,0.22269139393927273,3
SCRIB,23513,20.355,0.14803636363636363,2
KRT25,147183,20.3315,0.14786545454545452,2
HSD17B4,3295,20.314,0.07386909090909091,1
SDF2L1,23753,20.304588888866665,0.22150460606036362,3
GRK3,157,20.299,0.07381454545454545,1
NDRG3,57446,20.2275,0.1471090909090909,2
GFI1,2672,20.171,0.0733490909090909,1
BACH2,60468,20.166,0.07333090909090909,1
REV1,51455,20.124499999999998,0.14636,2
MGARP,84709,20.062,0.07295272727272728,1
LAMC3,10319,20.033466666699997,0.21854690909127272,3
GPR89A,653519,20.025,0.07281818181818181,1
PCBD1,5092,19.99,0.14538181818181817,2
NOXO1,124056,19.965000000000003,0.14520000000000002,2
TMEM208,29100,19.9345,0.1449781818181818,2
UBE2Q2L,100505679,19.91,0.1448,2
PLXDC1,57125,19.8235,0.14417090909090907,2
SLC35A4,113829,19.821,0.07207636363636365,1
CASP8AP2,9994,19.686,0.07158545454545455,1
GOLGA8K,653125,19.6855,0.14316727272727273,2
EHF,26298,19.63,0.07138181818181817,1
ARHGEF11,9826,19.555500000000002,0.1422218181818182,2
PPM1F,9647,19.5459,0.35538,5
LCE1B,353132,19.5385,0.14209818181818182,2
TBC1D30,23329,19.532,0.07102545454545454,1
SOGA1,140710,19.518,0.07097454545454546,1
WFDC2,10406,19.404,0.07056,1
SSH2,85464,19.393,0.07052,1
